time,accelerometer x,accelerometer y,accelerometer z,gyroscope x,gyroscope y,gyroscope z,latitude,longitude,speed
0.0,0.148839,-0.890874,-0.907413,-0.017715,0.053756,0.001222,30.3517848,76.3645279,0.0
0.1,0.148839,-0.890874,-0.907413,-0.017715,0.053756,0.001222,30.3517848,76.3645279,0.0
0.2,0.148839,-0.890874,-0.907413,-0.017715,0.053756,0.001222,30.3517848,76.3645279,0.0
0.3,0.234405,-0.922144,-0.856446,-0.087825,0.002707,0.025331,30.3517848,76.3645279,0.0
0.4,-0.57752,-0.102739,-0.967486,-0.639276,-0.823772,-0.529256,30.3517848,76.3645279,0.0
0.5,0.166524,-1.222493,1.094023,-1.008943,-0.307325,0.358316,30.3517848,76.3645279,0.0
0.6,-1.940569,1.331284,-0.463832,-0.228601,0.308482,-0.419396,30.3517848,76.3645279,0.0
0.7,-1.43959,0.322606,0.399629,-0.347589,0.032976,0.132369,30.3517848,76.3645279,0.0
0.8,-2.580379,1.789483,0.28157,0.215713,0.53718,0.081972,30.3517848,76.3645279,0.0
0.9,2.572682,-1.165621,-2.542204,1.200088,1.592351,1.136226,30.3517848,76.3645279,0.0
1.0,-3.072992,0.976443,0.687665,-0.716263,-0.952691,-0.542988,30.3517848,76.3645279,0.0
1.1,-0.920256,0.673184,-0.090547,-0.156972,-0.115647,0.013586,30.3517848,76.3645279,0.0
1.2,-1.296595,0.616314,-0.358906,-0.015249,0.198007,0.045167,30.3517848,76.3645279,0.0
1.3,0.181489,-0.105583,0.000259,-0.138269,-0.130041,-0.039671,30.3517848,76.3645279,0.0
1.4,0.114219,-0.056977,-0.010292,-0.012813,-0.050132,-0.054743,30.3517848,76.3645279,0.0
1.5,-0.032062,-0.047066,0.132223,-0.116524,-0.030009,-0.005188,30.3517848,76.3645279,0.0
1.6,0.096836,-0.070339,0.037613,-0.052995,-0.089603,0.002848,30.3517848,76.3645279,0.0
1.7,-0.042369,0.010126,-0.045655,-0.00487,-0.038092,0.026453,30.3517848,76.3645279,0.0
1.8,-0.134133,-0.0342,-0.084898,-0.018108,0.004375,0.038654,30.3517848,76.3645279,0.0
1.9,-0.201968,-0.062064,-0.105468,-0.031708,-0.010482,0.007764,30.3517848,76.3645279,0.0
2.0,0.044005,-0.041381,0.013186,0.008996,-0.005226,0.027192,30.3517848,76.3645279,0.0
2.1,0.068622,-0.032972,-0.04769,-0.065566,0.041539,-0.027489,30.3517848,76.3645279,0.0
2.2,0.027677,0.040106,0.250685,0.023126,-0.041036,0.009211,30.3517848,76.3645279,0.0
2.3,0.181406,-0.083087,-0.063536,0.030017,-0.019334,-0.024214,30.3517848,76.3645279,0.0
2.4,-0.032165,-0.023937,-0.240598,0.021303,0.066907,-0.115308,30.3517848,76.3645279,0.0
2.5,-0.039075,-0.036623,0.091745,-0.103318,-0.02245,-0.068183,30.3517848,76.3645279,0.0
2.6,-0.323708,0.172067,0.067942,0.0469,0.099902,-0.074805,30.3517848,76.3645279,0.0
2.7,0.087914,-0.000634,-0.056133,-0.012755,0.004761,-0.00988,30.3517848,76.3645279,0.0
2.8,0.078307,-0.041901,0.03865,-0.055662,0.002289,-0.042124,30.3517848,76.3645279,0.0
2.9,-0.067481,0.008999,0.109858,0.005668,-0.015155,-0.004051,30.3517848,76.3645279,0.0
3.0,0.075984,0.053275,-0.0493,0.022234,-0.035101,0.007893,30.3517848,76.3645279,0.0
3.1,-0.109776,0.026849,-0.048633,0.002762,-0.012702,-0.020727,30.3517848,76.3645279,0.1
3.2,-0.063744,-0.024032,-0.093151,0.003923,0.000869,-0.021528,30.35178462,76.3645279,0.2
3.3,-0.04549,0.005764,0.014485,-0.008021,0.009411,-0.015321,30.35178444,76.3645279,0.2
3.4,0.094448,-0.00138,-0.032811,-0.023199,-0.026252,-0.02186,30.35178426,76.3645279,0.199
3.5,-0.041025,0.024518,0.019807,-0.016529,-0.024218,-0.044797,30.35178408,76.3645279,0.197
3.6,-0.027889,0.037074,0.015073,0.003356,-0.000879,-0.011883,30.35178391,76.3645279,0.195
3.7,-0.050334,-0.005094,-0.049397,-0.005917,0.006612,-0.026244,30.35178373,76.3645279,0.193
3.8,0.006893,-0.031587,0.151807,-0.016428,-0.030097,-0.019596,30.35178356,76.36452791,0.191
3.9,0.043237,0.0244,0.110069,0.192681,-0.144848,0.00584,30.35178339,76.36452791,0.19
4.0,0.067099,-0.016992,0.054025,-0.121744,0.054458,0.00184,30.35178322,76.36452791,0.188
4.1,0.065097,-0.05018,0.13068,-0.082213,0.060627,0.01214,30.35178305,76.36452791,0.186
4.2,0.0091,-0.006245,-0.075689,-0.016954,0.029181,0.001879,30.35178289,76.36452792,0.184
4.3,0.007682,-0.008035,0.062466,-0.037582,0.000277,0.014279,30.35178272,76.36452792,0.183
4.4,-0.019211,-0.013408,-0.012495,-0.011683,0.03487,0.000331,30.35178256,76.36452792,0.181
4.5,0.02883,0.012456,0.009866,-0.021587,-0.001878,-0.004478,30.3517824,76.36452792,0.179
4.6,0.059508,-0.002643,0.044013,-0.02642,-0.016206,-0.004901,30.35178224,76.36452793,0.177
4.7,-0.090126,-0.050798,0.212258,0.051217,0.052435,-0.010282,30.35178208,76.36452793,0.176
4.8,-0.160782,-0.04759,-0.465772,-0.11562,-0.044428,0.024913,30.35178192,76.36452794,0.174
4.9,0.149574,0.014014,0.541795,-0.174045,0.018375,0.007783,30.35178176,76.36452794,0.172
5.0,0.299584,0.015403,-0.038852,-0.05375,-0.170223,0.043974,30.35178161,76.36452795,0.171
5.1,-0.158919,-0.132915,-0.007942,-0.065872,0.056261,-0.020814,30.35178146,76.36452795,0.169
5.2,-0.044894,0.06837,-0.140472,-0.014669,0.007551,-0.025745,30.35178131,76.36452796,0.167
5.3,-0.114577,0.158219,-0.208524,-0.06516,0.024837,0.002273,30.35178116,76.36452796,0.166
5.4,-0.258999,0.119864,-0.091276,-0.085246,0.008259,0.044711,30.35178101,76.36452797,0.164
5.5,-0.467956,0.148767,0.254036,0.037409,0.058071,0.155352,30.35178086,76.36452797,0.162
5.6,0.189554,0.038952,-0.035799,0.031099,-0.024296,0.072485,30.35178072,76.36452798,0.161
5.7,0.409806,0.280928,-0.460334,0.157277,0.086582,-0.070054,30.35178058,76.36452799,0.159
5.8,0.202487,0.613834,-0.452101,0.087999,0.108211,0.041387,30.35178043,76.36452799,0.157
